Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2021-11-17 15:24:00,true,"Piatra Neamt Trail Running","14.09","1,041","01:28:59","141","166","3.9","171","216","6:19","4:32","577","581","0.89","8.9","8.0","272","47.7% L / 52.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","6.0","0:00","No","00:26.36.4","15","0.0","33","19","48","01:28:56","01:28:59","349","675"
Virtual Cycling,2021-11-16 17:07:54,true,"Zwift - Innsbruck","25.38","632","01:04:39","124","159","--","0","0","23.6","88.8","500","--","0.00","0.0","0.0","0","--","79","153","179","0.0","192","170","368","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:04:38.99.9","1","0.0","--","--","--","01:04:34","01:04:38","279","696"
Virtual Cycling,2021-11-15 19:16:44,true,"Zwift - NYC","22.84","468","00:52:15","118","146","--","0","0","26.2","76.4","378","--","0.00","0.0","0.0","0","--","68","158","167","0.0","173","156","370","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","52:15.00","1","0.0","--","--","--","00:52:07","00:52:14","4","133"
Running,2021-11-14 10:28:40,true,"Piatra Neamt Running","21.31","1,041","02:15:23","147","170","--","0","0","6:21","2:24","879","879","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:32.76.9","22","0.0","--","--","--","02:14:59","02:15:23","303","654"
Virtual Cycling,2021-11-12 18:22:18,true,"Richmond Virtual Cycling","30.51","559","01:00:29","129","164","--","0","0","30.3","66.3","222","--","0.00","0.0","0.0","0","--","66","161","169","0.0","180","161","323","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:00:28.99.9","1","0.0","--","--","--","01:00:24","01:00:28","4","65"
Virtual Cycling,2021-11-10 18:36:19,true,"Veluwe Touring","15.61","312","00:30:11","132","150","--","0","0","31.0","61.1","159","103","0.00","0.0","0.0","0","--","70","84","178","36.9","180","173","291","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","30:11.00","1","0.0","--","--","--","00:30:07","00:30:11","49","113"
Running,2021-11-09 15:40:56,true,"Piatra Neamt Running","11.94","537","01:28:02","145","174","--","0","0","7:22","3:49","748","747","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:59.82.9","12","0.0","--","--","--","01:27:39","01:28:02","353","655"
Running,2021-11-07 10:52:52,true,"Piatra Neamt Running","8.40","638","01:39:18","144","176","--","0","0","11:49","5:03","988","976","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:09.47.9","9","0.0","--","--","--","01:37:49","01:39:18","378","632"
Running,2021-11-04 15:54:44,true,"Piatra Neamt Running","6.79","208","01:34:15","91","132","--","0","0","13:53","5:54","396","398","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:01.29.9","7","0.0","--","--","--","01:29:37","01:34:15","357","660"
Running,2021-11-03 16:00:51,true,"Piatra Neamt Running","7.12","314","01:26:45","118","169","--","0","0","12:11","4:57","546","598","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:24.29","8","0.0","--","--","--","01:19:06","01:26:45","351","655"
Hiking,2021-11-02 15:41:02,true,"Piatra Neamt Hiking","7.21","656","01:31:54","115","145","2.3","114","250","12:45","6:51","342","340","0.70","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","02:24.93","8","0.0","--","--","--","01:30:50","01:31:54","355","659"
Running,2021-10-31 08:32:01,true,"Bucharest Running","42.20","2,732","03:19:32","153","170","5.0","181","191","4:44","4:13","79","73","1.16","7.7","9.2","240","46.4% L / 53.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","01:04.27.5","43","0.0","35","23","48","03:19:23","03:19:32","68","91"
Hiking,2021-10-27 15:49:39,true,"Piatra Neamt Hiking","7.18","496","01:31:38","99","129","1.6","107","247","12:46","9:24","333","332","0.74","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","01:55.11.3","8","0.0","--","--","--","01:27:58","01:31:38","353","653"
Trail Running,2021-10-26 15:55:32,true,"Piatra Neamt Trail Running","8.25","609","01:14:39","117","168","2.8","132","211","9:03","3:03","375","375","0.84","8.3","6.8","363","48.1% L / 51.9% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","01:02.13.4","14","0.0","28","15","43","01:08:31","01:14:39","359","544"
Running,2021-10-25 18:43:47,true,"Piatra Neamt Running","10.01","681","00:49:59","148","159","4.0","179","186","5:00","4:18","63","62","1.14","8.0","9.3","246","46.1% L / 53.9% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","No","00:03.18.1","11","0.0","32","17","43","00:49:52","00:49:59","334","341"
Trail Running,2021-10-23 09:57:17,true,"Bicaz Trail Running","15.59","1,667","03:21:06","127","171","4.8","112","213","12:54","3:11","1,439","1,432","0.69","12.4","8.2","464","48.7% L / 51.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","9.0","0:00","No","02:44.26.1","16","0.0","30","11","50","02:53:07","03:42:43","808","1,902"
Trail Running,2021-10-21 15:55:21,true,"Piatra Neamt Trail Running","9.09","666","00:57:23","139","167","3.6","169","218","6:19","4:20","322","316","0.92","8.7","8.1","279","46.7% L / 53.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","00:30.49.9","10","0.0","34","13","49","00:56:55","01:03:15","334","648"
Cycling,2021-10-20 16:04:19,true,"Piatra Neamt Cycling","19.11","684","01:23:30","120","159","3.3","0","0","13.7","34.7","532","531","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","14:26.24.5","4","0.0","28","12","45","01:21:25","01:25:28","338","652"
Trail Running,2021-10-19 15:39:48,true,"Piatra Neamt Trail Running","12.14","846","01:23:23","127","150","3.2","169","202","6:52","4:22","487","486","0.84","9.5","7.9","285","48.3% L / 51.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","00:41.17.3","13","0.0","31","13","42","01:22:43","01:26:10","346","659"
Hiking,2021-10-18 17:53:49,true,"Piatra Neamt Hiking","5.26","423","01:03:46","108","146","2.1","108","247","12:07","7:28","253","252","0.76","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","02:44.74.2","6","0.0","--","--","--","01:01:57","01:03:46","357","611"
Running,2021-10-17 11:21:01,true,"Piatra Neamt Running","16.52","1,127","01:32:01","132","159","3.8","174","213","5:34","3:38","250","250","1.03","8.0","8.4","261","46.4% L / 53.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","02:18.48.8","17","0.0","35","13","47","01:31:18","01:35:16","337","459"
Running,2021-10-16 11:02:00,true,"Piatra Neamt Running","7.10","484","00:33:47","156","167","3.9","178","187","4:45","4:08","52","50","1.17","7.9","9.4","241","45.3% L / 54.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","00:32.47.7","8","0.0","37","21","46","00:33:46","00:33:47","333","342"
Cycling,2021-10-15 17:01:57,true,"Piatra Neamt Cycling","15.16","541","01:23:52","107","146","2.5","0","0","10.8","26.9","490","489","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","00:41.56.2","4","0.0","26","10","41","01:16:51","01:23:52","341","663"
Trail Running,2021-10-14 16:41:51,true,"Piatra Neamt Trail Running","10.67","797","01:21:39","130","170","3.2","141","209","7:39","3:25","460","459","0.91","8.3","7.5","334","48.0% L / 52.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","No","01:42.18.1","15","0.0","32","14","46","01:17:46","01:21:39","354","658"
Running,2021-10-12 16:25:00,true,"Piatra Neamt Running","15.35","--","01:17:08","150","166","--","0","0","5:02","2:08","314","312","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:17:07.99.9","1","0.0","--","--","--","01:15:51","01:17:08","329","473"
